titre,date,presentateurs,chaines,description,slug,catégiorie,exclu play,,,,,,,,,,,,,,
Intimes Convictions,,"Julie Denayer,Denis Goeman ","tvi,play","""Intime Conviction"" vous transporte au cœur des affaires belges et françaises les plus marquantes. Chaque épisode dévoile un nouvel éclairage grâce aux témoignages exclusifs des principaux protagonistes et de leurs proches, révélant des détails et des perspectives rarement explorés. 

Avec l'expertise du juge Denis Goeman, vous êtes guidés à travers les moments clés et les défis de ces enquêtes judiciaires. De la collecte des témoignages aux stratégies d’enquête, en passant par les éléments cruciaux qui ont influencé le verdict final, ""Intime Conviction"" vous révèle les rouages cachés de la justice. 

Sujet de la première affaire : “Alexia, Autopsie d’un féminicide” 

Parce que la mort d’Alexia Daval a bouleversé tout un pays, parce qu’elle a été l’affaire la plus médiatisée depuis l’affaire Grégory, parce qu’elle est ancrée dans une région et incarnée par une famille digne, forte, qui a tenu face à l’horreur et suscité l’admiration de tous, parce que le profil du meurtrier est inédit et que son scénario est machiavélique, parce que l’histoire d’Alexia est celle d’une femme battue à mort, elle n’est pas un simple fait divers. Elle est une histoire française. Une histoire universelle. ",intimes,crime,,,,,,,,,,,,,,,
Histoire de crimes,,"Luc Hennart,Alexandre Wilmotte,Gisèle Stuyck,Nathalie Gallant,Christophe Giltay","tvi,play","""Histoires de Crimes"" devient votre incontournable rendez-vous criminel sur RTL tvi. Chaque semaine, deux documentaires vous replongent dans les affaires criminelles les plus marquantes de ces dernières années en Belgique et en France... meurtres de sang-froid, règlements de compte, jalousie fatale ou encore infanticides. 

Pour décrypter ces histoires, une équipe d'experts belges reconnus partage son analyse. Parmi eux, Luc Hennart, magistrat à la retraite, Alexandre Wilmotte, Gisèle Stuyck et Nathalie Gallant, avocats pénalistes, ainsi que Christophe Giltay, journaliste judiciaire.  ",hist-crimes,crime,,,,,,,,,,,,,,,
Histoire de crimes : portraits de tueurs,,"Philippe Boxho,Nathalie Penning,Jessica Vanhaebost,Grégory Schmit,Samuel Leistedt,Oceane Gangi,Aurélien Partoune,Pierre Thys,Dominique Demoulin","tvi,play","Pour prolonger votre soirée “Histoires de Crimes”, RTL tvi vous propose un documentaire inédit qui vous emmène au cœur des histoires saisissantes de tueurs en série et de criminels multirécidivistes issus du monde entier. À travers des témoignages exclusifs d'enquêteurs, de membres de la famille des tueurs, de proches des victimes, de journalistes, et parfois même de survivants, nous tentons de comprendre les mécanismes sombres qui ont poussé ces hommes et ces femmes à commettre l'irréparable.  

Chaque semaine, grâce à des images d’archives, des reconstitutions et des témoignages exclusifs, ""Histoires de Crimes"" accueille de nouveaux experts. Parmi eux : Philippe Boxho, médecin légiste, Nathalie Penning, avocate pénaliste, Jessica Vanhaebost, médecin légiste, Grégory Schmit, médecin légiste, Samuel Leistedt, psychiatre, Oceane Gangi, criminologue, Aurélien Partoune, criminologue, Pierre Thys, psychologue et Dominique Demoulin, journaliste judiciaire. ",tueurs,crime,,,,,,,,,,,,,,,
Meurtre en Belgique,,Philippe Boxho,"tvi,play","""Meurtre en Belgique"" vous emmène au cœur des affaires criminelles belges, où la réalité dépasse souvent la fiction. Pour la première fois, des images et documents judiciaires authentiques seront dévoilés au public. Guidés par Philippe Boxho, vous découvrirez des témoignages saisissants de détectives, de juges d'instruction, de procureurs, de proches des victimes, et parfois des victimes elles-mêmes. ",meurtre,crime,,,,,,,,,,,,,,,
La Meilleure Friterie - Saison 2,,Loïc,"tvi,play","Le plus grand concours de friteries jamais organisé en Wallonie et à Bruxelles revient pour une seconde saison pleine de nouveautés, avec notre fou de cuisine préféré aux commandes : Loïc. Cette année, 12 frituristes de tous horizons vont s'affronter pendant six semaines. Ils seront évalués par un jury d'experts composé de Patrick et Fabienne de Corte, d'Arnaud Delvenne et de David Antoine. À leurs côtés, un Fan Bus rempli des 20 amateurs de frites les plus affutés du Royaume. Chaque frituriste sera soutenu par un ambassadeur de sa province, parmi lesquels Jean-Michel Zecca, Emilie Dupuis, Sandrine Corman, Sabrina Jacobs, Benjamin Maréchal et Sophie Pendeville. 

Qui succédera à Ben et Nati, vainqueurs de la 1ère saison de la Meilleure Friterie ? Réponse très bientôt ! ",friterie,tres-bientot,,,,,,,,,,,,,,,
L'amour est dans le pré,Dès le 15 septembre,Maria del Rio,"tvi,play","Pour cette nouvelle édition, ""L’amour est dans le pré"" accueille Maria Del Rio à la tête de la moisson 2024. Au printemps, ils nous ont émus à travers leurs histoires, leurs confidences et leur envie sincère de rencontrer l’amour. Après avoir reçu des centaines de courriers de prétendant(e)s prêts à vivre une belle histoire, découvrez à présent les agriculteurs.rices de la saison 16 dans leur quête amoureuse ! Ils viennent des quatre coins de la Wallonie et partagent tous la même envie : vivre une love story. 

Et comme le dit la chanson : “Love is in the air”, et nos agriculteurs vont vous le prouver ! ",adlp,tres-bientot,,,,,,,,,,,,,,,
Les Traîtres : Seront-ils démasqués ? - Version française,Dès le 7 septembre,Eric Antoine,"tvi,play","Vingt personnalités françaises se lancent dans l’aventure palpitante du phénomène “Les Traîtres”. Un jeu aussi cruel que jubilatoire ! Les joueurs vont entrer dans un univers hors-norme où leur seul allié sera leur instinct… car parmi les 20 personnalités se cachent des Traîtres prêts à tout pour remporter la partie. Ces derniers devront résister à la pression, mentir et manipuler pour passer inaperçus et conserver leur place dans le jeu. Sauront-ils duper les autres membres du château ? Qui trahira pour gagner ? Qui des Traîtres ou des Loyaux remporteront la partie ? Bienvenue dans un jeu impitoyable où la vérité est aussi cruelle que la trahison elle-même.  ",traitres,tres-bientot,,,,,,,,,,,,,,,
Le Meilleur Pâtissier,,Laetitia Millot,"tvi,play","Le Meilleur Pâtissier revient sur RTL tvi avec une nouvelle saison présentée par Laëtitia Milot. Les pâtissiers amateurs s'affronteront sous l'œil vigilant du jury composé du talentueux chef Cyril Lignac et de la blogueuse Mercotte. Ils devront relever des défis sucrés, mêlant technique et créativité, pour éblouir nos 2 juges. Qui représentera la Belgique, apportant une touche locale et gourmande à la compétition ? Entre créations audacieuses et moments de convivialité, cette saison promet d’être un délice pour les amateurs de pâtisserie. ",lmp,tres-bientot,,,,,,,,,,,,,,,
C'est du gâteau,,"Benjamin,Adélina","tvi,play","Benjamin et Adélina, ex-candidats du Meilleur Pâtissier, s’affrontent dans une bataille de desserts pleine de bonne humeur ! Ils seront départagés chaque semaine par un invité spécial... Qui remportera le point avec sa création gourmande ? Une compétition amicale et sucrée, diffusée juste après le Meilleur Pâtissier. ",gateau,tres-bientot,,,,,,,,,,,,,,,
François Pirette - XYZ,Le 11 septembre à 20h30,François Pirette,"tvi,play","2024 est l’année de tous les records pour François Pirette : sa tournée ""XYZ - 3 générations"" a déjà réuni près de 20.000 personnes avec plus de 30 représentations marathon jouées à guichets fermés dont la plus longue au PBA de Charleroi aura duré 3h50 !  

Avant de reprendre la route à l’automne pour une version « XYZ 2.0 », François Pirette nous offre un témoignage unique de cette performance, avec un regard inédit jeté depuis les coulisses de sa tournée-événement. 

""XYZ - 3 générations”, 3 soirées exceptionnelles à ne surtout pas manquer ! ",pirette,humour,,,,,,,,,,,,,,,
